month,N,cum_seqs
2019-12,25,25
2020-01,939,964
2020-02,2259,3223
2020-03,58689,61912
2020-04,61995,123907
2020-05,32911,156818
2020-06,36404,193222
2020-07,48746,241968
2020-08,48221,290189
2020-09,53894,344083
2020-10,90295,434378
2020-11,119396,553774
2020-12,164783,718557
2021-01,269155,987712
2021-02,289223,1276935
2021-03,453725,1730660
2021-04,466977,2197637
2021-05,363948,2561585
2021-06,300920,2862505
2021-07,597148,3459653
2021-08,903947,4363600
2021-09,742345,5105945
2021-10,690423,5796368
2021-11,850251,6646619
2021-12,1119672,7766291
2022-01,1364448,9130739
2022-02,949370,10080109
2022-03,833062,10913171
2022-04,552924,11466095
2022-05,485828,11951923
2022-06,529331,12481254
2022-07,599531,13080785
2022-08,436287,13517072
2022-09,336315,13853387
2022-10,318515,14171902
2022-11,327321,14499223
2022-12,367936,14867159
2023-01,253111,15120270
2023-02,190116,15310386
2023-03,180987,15491373
2023-04,125207,15616580
2023-05,101565,15718145
2023-06,61300,15779445
2023-07,56927,15836372
2023-08,95625,15931997
2023-09,109942,16041939
2023-10,103761,16145700
2023-11,102022,16247722
2023-12,115246,16362968
2024-01,93351,16456319
2024-02,55303,16511622
2024-03,34711,16546333
2024-04,26352,16572685
2024-05,35590,16608275
2024-06,48664,16656939
2024-07,63580,16720519
2024-08,57592,16778111
2024-09,51739,16829850
2024-10,39925,16869775
2024-11,28119,16897894
2024-12,31384,16929278
2025-01,27696,16956974
2025-02,19682,16976656
2025-03,15984,16992640
2025-04,13299,17005939
2025-05,14911,17020850
2025-06,16960,17037810
2025-07,19041,17056851
2025-08,25182,17082033
2025-09,27209,17109242
2025-10,17118,17126360
2025-11,10007,17136367
2025-12,9438,17145805
